"Month";"Active Listings, Number of";"Sale Price to Original Price Ratio";"List Price, Average";"Days to Sell, Median";"List Price, Median";"Original Price, Average";"Sale Price, Average";"Original Price, Median";"Sale Price, Median";"Days to Sell, Average"
"Jan 2024";549;97;269965;21;299999;274073;292029;307450;297000;34
"Feb 2024";594;97;286186;24;299900;287836;267515;299900;292000;37
"Mar 2024";626;96;340772;17;299450;341590;281469;300000;299950;39
"Apr 2024";685;97;332851;19;300000;329652;314350;315000;300000;37
"May 2024";717;97;353432;16;299000;358676;315331;299900;290000;35
"Jun 2024";718;98;328206;17;295000;332105;328110;300000;290000;24
"Jul 2024";709;99;308700;20;299914;312509;333074;300000;295000;37
"Aug 2024";704;98;310696;18;300000;313965;324474;300000;302500;33
"Sep 2024";731;97;311494;18;299000;317640;299126;307000;295000;33
"Oct 2024";700;97;323913;20;300000;326722;315865;312450;290000;30
"Nov 2024";661;98;295424;16;299900;298230;297518;305000;290000;38
"Dec 2024";585;102;305294;24;299900;313306;338573;300000;299900;43
"Jan 2025";505;96;310558;19;297000;309053;308073;299900;290080;47
"Feb 2025";473;97;339432;13;299900;335665;292841;299900;281000;48
