"Month";"Active Listings, Number of";"Sale Price to Original Price Ratio";"Days to Sell, Average";"Days to Sell, Median";"List Price, Median";"Original Price, Average";"Sale Price, Average";"Original Price, Median";"Sale Price, Median";"List Price, Average"
"Jan 2024";8;90;16;14;300000;324667;315000;325000;315000;308000
"Feb 2024";7;106;23;6;0;0;345000;0;345000;0
"Mar 2024";5;102;30;32;312450;312450;305000;312450;305000;312450
"Apr 2024";9;87;30;106;331200;330683;345000;342250;345000;323333
"May 2024";8;100;10;10;338900;338900;302450;338900;302450;338900
"Jun 2024";11;0;13;13;344000;331725;280000;344000;280000;325725
"Jul 2024";9;96;31;40;350000;350000;329500;350000;329500;350000
"Aug 2024";14;93;22;24;315000;292467;335000;315000;335000;302483
"Sep 2024";10;107;21;14;279000;279000;317225;279000;335000;279000
"Oct 2024";8;98;18;20;0;0;292667;0;288000;0
"Nov 2024";6;97;26;77;0;0;305000;0;305000;0
"Dec 2024";2;98;32;20;0;0;254500;0;254500;0
"Jan 2025";3;0;8;0;325000;326950;0;326950;0;320967
"Feb 2025";2;103;49;19;325000;341667;348000;350000;348000;333333
