"Month";"Active Listings, Number of";"Sale Price to Original Price Ratio";"List Price, Average";"Days to Sell, Median";"List Price, Median";"Original Price, Average";"Sale Price, Average";"Original Price, Median";"Sale Price, Median";"Days to Sell, Average"
"Jan 2024";2;0;350000;0;350000;350000;0;350000;0;0
"Feb 2024";2;0;0;0;0;0;0;0;0;15
"Mar 2024";4;0;297000;0;297000;297000;0;297000;0;46
"Apr 2024";5;91;325000;69;325000;325000;318000;325000;318000;38
"May 2024";4;97;264900;22;264900;264900;288500;264900;288500;22
"Jun 2024";3;0;0;0;0;0;0;0;0;42
"Jul 2024";3;113;329900;11;329900;325000;300000;325000;300000;10
"Aug 2024";4;100;346633;1;335000;334967;315000;315000;315000;137
"Sep 2024";6;0;299950;0;299950;299950;0;299950;0;12
"Oct 2024";6;87;0;59;0;0;337400;0;337400;35
"Nov 2024";5;0;325000;0;325000;340000;0;340000;0;12
"Dec 2024";5;109;299000;27;299000;299000;317500;299000;317500;22
"Jan 2025";4;94;0;33;0;0;320000;0;320000;56
"Feb 2025";1;101;0;148;0;0;328000;0;328000;97
