"Month";"Active Listings, Number of";"Sale Price to Original Price Ratio";"Days to Sell, Average";"List Price, Average";"Days to Sell, Median";"List Price, Median";"Original Price, Median";"Sale Price, Median";"Original Price, Average";"Sale Price, Average"
"Jan 2024";348;100;34;2699;24;2600;2650;2800;5224;2850
"Feb 2024";368;100;37;2696;28;2600;2500;2500;2690;2781
"Mar 2024";353;99;40;2748;29;2620;2620;2700;2752;2792
"Apr 2024";334;99;37;2868;27;2600;2650;2525;2890;2742
"May 2024";349;110;37;2843;21;2700;2700;2475;2864;3301
"Jun 2024";385;109;23;2934;15;2813;2813;2775;2930;3152
"Jul 2024";378;109;37;2921;21;2725;2750;2540;2928;3225
"Aug 2024";353;99;31;2891;22;2750;2800;2700;2900;2813
"Sep 2024";351;99;35;2805;21;2530;2525;2800;2801;2868
"Oct 2024";369;99;30;2821;21;2600;2588;2650;2819;2849
"Nov 2024";356;108;38;2879;22;2625;2650;2538;2876;3136
"Dec 2024";339;99;44;2735;32;2625;2600;2750;2747;2942
"Jan 2025";367;98;47;2822;40;2600;2600;2500;3063;2685
"Feb 2025";336;183;49;2745;35;2500;2500;2400;2755;2723
