"Month";"Active Listings, Number of";"Sale Price to Original Price Ratio";"Days to Sell, Average";"List Price, Average";"Days to Sell, Median";"List Price, Median";"Original Price, Average";"Sale Price, Average";"Original Price, Median";"Sale Price, Median"
"Jan 2024";70;98;33;2591;24;2495;2565;2581;2250;2650
"Feb 2024";70;99;30;2412;35;2400;2473;2772;2400;2400
"Mar 2024";72;98;62;2739;27;2398;2868;2884;2450;2175
"Apr 2024";70;98;27;2675;22;2675;2694;2810;2950;4500
"May 2024";74;99;47;2757;22;2700;2835;2407;3100;2280
"Jun 2024";98;99;23;2688;23;2450;2711;2656;2500;2400
"Jul 2024";93;132;23;3082;17;2800;3161;4750;2300;2950
"Aug 2024";73;100;29;2718;21;2475;2696;2696;2300;2500
"Sep 2024";82;97;37;3019;22;3200;2872;2693;2000;2548
"Oct 2024";87;97;25;3054;17;2625;3020;2888;2550;2625
"Nov 2024";77;98;39;2458;27;2400;2500;2773;2350;2550
"Dec 2024";70;97;49;2647;40;2400;2694;2625;2150;2200
"Jan 2025";69;98;49;2943;44;2618;2894;2280;2350;2200
"Feb 2025";62;100;28;2432;12;2400;2411;3078;2000;2225
